ID,DOB,mean_temp
910,116,77.65833333
911,116,77.65833333
912,116,78.04444444
913,116,78.04444444
914,,78.04444444
915,116,78.04444444
916,117,78.16666667
917,,75.93333333
918,117,78.16666667
919,117,75.93333333
920,117,78.95555556
921,,77.84444444
922,117,77.84444444
923,,77.31111111
924,,78.54444444
925,117,77.44444444
926,119,79.06666667
927,,79.06666667
928,,78.72222222
929,118,78.72222222
930,119,77.75555556
931,119,77.75555556
932,,78.16666667
933,119,77.86666667
934,119,78.95555556
935,119,77.86666667
936,,78.95555556
937,,76.48888889
938,119,78.16666667
939,,78.16666667
940,119,77.35555556
941,119,77.86666667
942,,79.06666667
943,,77.92222222
944,,79.06666667
945,119,77.92222222
946,,78.72222222
947,119,77.75555556
948,,77.75555556
949,119,77.75555556
950,,76.64444444
952,120,77.35555556
954,120,77.35555556
955,120,78.04444444
956,,78.16666667
957,,78.63333333
959,121,
960,121,
961,121,
964,121,
965,121,
966,121,
967,121,
969,121,
970,121,
972,122,
973,122,
974,122,
975,122,
976,122,
978,122,
979,122,
980,122,
981,122,
982,122,
