Cross,Block,ID,Days,Mature_length,Mature_weight
YHF6QM7,10,291,59,13.71,0.055
YHF6QM7,10,292,47,13.71,0.056
YHF5QM6,6,293,47,13.68,0.05
YHF5QM6,6,294,49,13.63,0.054
YHF6QM7,5,295,41,14.05,0.06
YHF6QM7,5,296,36,15.13,0.073
YHF6QM7,2,297,45,14.73,0.066
YHF6QM7,2,298,41,14,0.061
YHF6QM7,2,299,45,14.13,0.055
YHF6QM7,4,300,41,13.36,0.056
YHF6QM7,4,301,41,13.37,0.061
YHF6QM7,4,302,41,14.14,0.068
QF4YHM8,3,303,46,14.87,0.07
YHF5QM6,1,304,40,13.89,0.06
YHF5QM6,1,305,40,13.85,0.066
YHF5QM6,1,306,48,14.99,0.078
YHF5QM6,1,307,48,14.96,0.077
YHF5QM6,1,308,52,15.15,0.076
QF4YHM8,4,309,46,15.56,0.087
QF4YHM8,4,310,46,16.2,0.091
QF4YHM8,4,311,48,14.45,0.069
QF4YHM8,4,312,50,14.72,0.068
QF4YHM8,4,313,46,15.4,0.083
QF4YHM8,4,314,,,
QF4YHM8,4,315,54,15.61,0.081
YHF5QM6,7,316,48,13.86,0.062
YHF5QM6,7,317,,,
YHF5QM6,7,318,60,14.87,0.072
YHF5QM6,7,319,48,13.34,0.053
YHF5QM6,7,320,53,14.93,0.071
YHF6QM7,11,321,48,15.47,0.085
YHF6QM7,11,322,34,14.53,0.07
YHF6QM7,11,323,42,13.41,0.055
QF4YHM8,1,324,42,14.48,0.068
QF4YHM8,1,325,42,14.88,0.066
QF4YHM8,1,326,42,14.31,0.066
YHF5QM6,2,327,44,15.25,0.08
YHF5QM6,2,328,42,14.05,0.062
YHF5QM6,2,329,44,15.51,0.082
YHF5QM6,10,330,42,14.36,0.066
YHF5QM6,10,331,47,15.26,0.079
YHF5QM6,10,332,46,14.71,0.07
YHF5QM6,10,333,51,14.46,0.068
YHF5QM6,10,334,50,14.86,0.07
YHF5QM6,10,335,42,14.75,0.071
YHF5QM6,5,336,56,14.54,0.073
YHF5QM6,5,337,49,14.92,0.075
YHF5QM6,5,338,50,13.06,0.058
YHF5QM6,5,339,49,14.05,0.061
YHF5QM6,5,340,61,14.19,0.065
YHF5QM6,5,341,64,13.93,0.058
YHF5QM6,3,342,49,15.07,0.073
YHF5QM6,3,343,46,15.29,0.081
YHF5QM6,3,344,46,14.44,0.066
YHF5QM6,3,345,50,14.96,0.071
YHF5QM6,3,346,50,15.01,0.075
YHF5QM6,3,347,53,15.46,0.075
YHF6QM7,9,348,44,14.08,0.059
YHF6QM7,9,349,42,14.5,0.066
YHF6QM7,9,350,45,14.4,0.063
YHF6QM7,9,351,,,
YHF6QM7,9,352,42,13.43,0.054
YHF6QM7,2,353,39,14.04,0.058
YHF6QM7,2,354,46,13.58,0.054
,,355,,,
YHF6QM7,12,356,46,13.21,0.052
YHF6QM7,12,357,47,13.9,0.057
YHF6QM7,12,358,41,14.31,0.06
YHF6QM7,12,359,47,13.19,0.048
YHF6QM7,12,360,40,14.4,0.067
YHF6QM7,12,361,41,14.34,0.062
YHF6QM7,12,362,49,14.07,0.061
YHF6QM7,12,363,47,14.3,0.055
YHF5QM6,8,364,45,13.99,0.059
YHF5QM6,8,365,48,13.15,0.054
YHF5QM6,8,366,46,13.53,0.054
YHF5QM6,8,367,49,13.67,0.055
YHF5QM6,8,368,53,14.22,0.058
YHF6QM7,4,369,40,14.04,0.065
YHF6QM7,4,370,44,13.12,0.044
YHF6QM7,4,371,44,14.06,0.052
YHF6QM7,4,372,47,13.5,0.049
YHF6QM7,4,373,40,13.55,0.058
YHF6QM7,4,374,47,13.86,0.055
YHF6QM7,4,375,43,14.24,0.064
